Site,Name,Price,Stock,Link
"efantasy","Magic the Gathering - Kamigawa: Neon Dynasty Commander
Deck (Upgrades Unleashed)","39,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/196091-magic-the-gathering-kamigawa-neon-dynasty-commander-deck-upgrades-unleashed"

"efantasy","Magic the Gathering - March of the Machine Commander
Deck (Call for Backup)","49,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/224138-magic-the-gathering-march-of-the-machine-commander-deck-call-for-backup"

"efantasy","Magic the Gathering - Modern Horizons 3 Collector's
Commander Deck (Tricky Terrain)","149,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278483-magic-the-gathering-modern-horizons-3-collectors-commander-deck-tricky-terrain"

"efantasy","Magic the Gathering - March of the Machine Commander
Deck (Growing Threat)","49,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/224136-magic-the-gathering-march-of-the-machine-commander-deck-growing-threat"

"efantasy","Magic the Gathering - Streets of New Capenna Commander
Deck (Bedecked Brokers)","49,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/200531-magic-the-gathering-streets-of-new-capenna-commander-deck-bedecked-brokers"

"efantasy","Magic the Gathering - Tales of Middle-Earth Scene Box:
Flight of the Witch-King","44,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/243980-magic-the-gathering-tales-of-middle-earth-scene-box-flight-of-the-witch-king"

"efantasy","Magic the Gathering - Tales of Middle-Earth Scene Box:
Gandalf in the Pelennor Fields","44,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/243984-magic-the-gathering-tales-of-middle-earth-scene-box-gandalf-in-the-pelennor-fields"

"efantasy","Magic the Gathering - Outlaws of Thunder Junction
Commander Deck (Most Wanted)","49,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/277923-magic-the-gathering-outlaws-of-thunder-junction-commander-deck-most-wanted"

"efantasy","Magic the Gathering - The Brothers' War
Bundle","44,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/212733-magic-the-gathering-the-brothers-war-bundle"

"efantasy","Magic the Gathering - Phyrexia: All Will Be One
Commander Deck (Rebellion Rising)","49,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/222392-magic-the-gathering-phyrexia-all-will-be-one-commander-deck-rebellion-rising"

"efantasy","Magic the Gathering - Pioneer Challenger Deck 2022:
Dimir Control","49,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/210172-magic-the-gathering-pioneer-challenger-deck-2022-dimir-control"

"efantasy","Magic the Gathering - Pioneer Challenger Deck 2022:
Orzhov Humans","49,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/210173-magic-the-gathering-pioneer-challenger-deck-2022-orzhov-humans"

"efantasy","Magic the Gathering Beyond Booster - Assassin's
Creed","6,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278883-magic-the-gathering-beyond-booster-assassins-creed"

"efantasy","Magic the Gathering Collector Booster - Duskmourn:
House of Horror","25,00€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/298881-magic-the-gathering-collector-booster-duskmourn-house-of-horror"

"efantasy","Magic the Gathering Collector Booster - Streets of New
Capenna","24,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/199083-magic-the-gathering-collector-booster-streets-of-new-capenna"

